customer_id,R,F,M,r,f,m,segment
52,8,3,433800.0,3,3,3,Чемпионы
53,91,1,34200.0,2,1,1,Спящие
54,117,1,420000.0,2,1,3,Спящие
56,221,1,4950.0,1,1,1,Спящие
57,5,1,23200.0,3,1,1,Новые
58,15,1,12000.0,3,1,1,Новые
59,13,4,244500.0,3,3,3,Чемпионы
60,326,1,40500.0,1,1,1,Спящие
63,333,2,449000.0,1,2,3,Под угрозой ухода
64,236,1,45000.0,1,1,2,Спящие
65,83,1,72000.0,2,1,2,Спящие
66,67,1,52000.0,3,1,2,Новые
67,121,1,38000.0,2,1,1,Спящие
68,216,2,173500.0,1,2,3,Под угрозой ухода
69,70,2,431000.0,3,2,3,Чемпионы
70,12,1,52200.0,3,1,2,Новые
71,334,1,180000.0,1,1,3,Под угрозой ухода
72,300,1,24000.0,1,1,1,Спящие
74,129,1,45000.0,2,1,2,Спящие
75,130,1,10800.0,2,1,1,Спящие
76,19,8,659950.0,3,3,3,Чемпионы
77,321,2,204000.0,1,2,3,Под угрозой ухода
78,243,1,76000.0,1,1,2,Спящие
79,248,1,8100.0,1,1,1,Спящие
80,258,2,432000.0,1,2,3,Под угрозой ухода
81,162,2,140500.0,2,2,3,Лояльные
82,216,1,29000.0,1,1,1,Спящие
83,75,1,45000.0,3,1,2,Новые
84,262,1,180000.0,1,1,3,Под угрозой ухода
85,61,1,9000.0,3,1,1,Новые
86,205,1,45000.0,1,1,2,Спящие
87,73,2,27000.0,3,2,1,Лояльные
88,332,1,9000.0,1,1,1,Спящие
89,246,2,43200.0,1,2,2,Под угрозой ухода
90,241,1,378000.0,1,1,3,Под угрозой ухода
91,71,1,16500.0,3,1,1,Новые
92,41,1,90000.0,3,1,2,Новые
93,70,1,34200.0,3,1,1,Новые
94,187,4,123000.0,2,3,2,Лояльные
95,227,1,5500.0,1,1,1,Спящие
96,87,3,214500.0,2,3,3,Лояльные
97,312,1,9000.0,1,1,1,Спящие
98,70,1,26100.0,3,1,1,Новые
99,246,1,52000.0,1,1,2,Спящие
100,181,1,21600.0,2,1,1,Спящие
101,115,3,555000.0,2,3,3,Лояльные
102,81,1,9000.0,2,1,1,Спящие
103,30,1,36000.0,3,1,1,Новые
104,58,2,33800.0,3,2,1,Лояльные
105,179,4,196500.0,2,3,3,Лояльные
106,72,1,4950.0,3,1,1,Новые
107,220,2,57800.0,1,2,2,Под угрозой ухода
108,37,1,6000.0,3,1,1,Новые
109,232,1,10800.0,1,1,1,Спящие
110,313,1,52000.0,1,1,2,Спящие
111,231,2,44100.0,1,2,2,Под угрозой ухода
112,18,2,207000.0,3,2,3,Чемпионы
113,131,1,52000.0,2,1,2,Спящие
114,271,2,51000.0,1,2,2,Под угрозой ухода
115,7,1,38400.0,3,1,1,Новые
116,48,2,57000.0,3,2,2,Чемпионы
117,296,1,58000.0,1,1,2,Спящие
118,342,1,9000.0,1,1,1,Спящие
119,229,1,6000.0,1,1,1,Спящие
120,20,2,121600.0,3,2,2,Чемпионы
121,30,2,10950.0,3,2,1,Лояльные
122,244,1,5500.0,1,1,1,Спящие
123,180,4,499500.0,2,3,3,Лояльные
124,155,2,163000.0,2,2,3,Лояльные
125,17,1,180000.0,3,1,3,Новые
126,225,1,26100.0,1,1,1,Спящие
127,135,2,207000.0,2,2,3,Лояльные
128,246,1,6000.0,1,1,1,Спящие
129,184,1,76000.0,2,1,2,Спящие
131,143,2,78000.0,2,2,2,Лояльные
132,179,2,81000.0,2,2,2,Лояльные
133,18,1,19200.0,3,1,1,Новые
134,217,2,98000.0,1,2,2,Под угрозой ухода
135,270,1,162000.0,1,1,3,Под угрозой ухода
136,244,3,198000.0,1,3,3,Под угрозой ухода
139,184,2,100000.0,2,2,2,Лояльные
140,94,1,52000.0,2,1,2,Спящие
141,14,1,45000.0,3,1,2,Новые
142,17,1,10800.0,3,1,1,Новые
143,16,1,378000.0,3,1,3,Новые
144,194,2,534000.0,2,2,3,Лояльные
145,188,1,378000.0,2,1,3,Спящие
146,275,2,402000.0,1,2,3,Под угрозой ухода
147,129,2,91800.0,2,2,2,Лояльные
149,362,1,29000.0,1,1,1,Спящие
150,15,2,38000.0,3,2,1,Лояльные
151,35,2,53000.0,3,2,2,Чемпионы
152,117,1,34200.0,2,1,1,Спящие
153,269,1,38000.0,1,1,1,Спящие
154,8,2,125000.0,3,2,2,Чемпионы
155,167,2,232000.0,2,2,3,Лояльные
156,175,3,49100.0,2,3,2,Лояльные
157,47,2,104200.0,3,2,2,Чемпионы
158,132,1,9000.0,2,1,1,Спящие
159,261,1,48000.0,1,1,2,Спящие
160,55,2,798000.0,3,2,3,Чемпионы
161,354,1,26100.0,1,1,1,Спящие
162,306,1,24000.0,1,1,1,Спящие
164,203,2,360000.0,1,2,3,Под угрозой ухода
165,84,4,510500.0,2,3,3,Лояльные
166,75,1,16200.0,3,1,1,Новые
167,139,1,4950.0,2,1,1,Спящие
168,95,1,45000.0,2,1,2,Спящие
169,136,1,18000.0,2,1,1,Спящие
170,112,1,48000.0,2,1,2,Спящие
171,32,1,14400.0,3,1,1,Новые
172,107,1,58000.0,2,1,2,Спящие
173,306,2,65000.0,1,2,2,Под угрозой ухода
174,192,1,52000.0,2,1,2,Спящие
175,285,1,420000.0,1,1,3,Под угрозой ухода
176,239,3,75400.0,1,3,2,Под угрозой ухода
177,156,1,52000.0,2,1,2,Спящие
178,328,1,45000.0,1,1,2,Спящие
179,2,2,29500.0,3,2,1,Лояльные
180,67,1,102600.0,3,1,2,Новые
181,177,1,45000.0,2,1,2,Спящие
182,145,1,90000.0,2,1,2,Спящие
183,53,1,18000.0,3,1,1,Новые
184,215,2,97000.0,1,2,2,Под угрозой ухода
185,189,1,5400.0,2,1,1,Спящие
186,274,1,9000.0,1,1,1,Спящие
187,45,1,38000.0,3,1,1,Новые
188,41,2,256500.0,3,2,3,Чемпионы
189,30,1,24300.0,3,1,1,Новые
190,236,1,420000.0,1,1,3,Под угрозой ухода
191,239,2,218000.0,1,2,3,Под угрозой ухода
192,123,4,259600.0,2,3,3,Лояльные
193,144,1,52000.0,2,1,2,Спящие
194,348,1,87000.0,1,1,2,Спящие
195,146,2,48800.0,2,2,2,Лояльные
196,26,1,24000.0,3,1,1,Новые
197,20,3,93800.0,3,3,2,Чемпионы
198,194,3,168000.0,2,3,3,Лояльные
199,159,2,449000.0,2,2,3,Лояльные
200,7,1,90000.0,3,1,2,Новые
201,54,1,11000.0,3,1,1,Новые
202,277,2,171900.0,1,2,3,Под угрозой ухода
204,197,1,40500.0,2,1,1,Спящие
205,169,1,21600.0,2,1,1,Спящие
206,325,1,6000.0,1,1,1,Спящие
207,241,1,38000.0,1,1,1,Спящие
208,14,1,58000.0,3,1,2,Новые
209,9,3,120000.0,3,3,2,Чемпионы
210,118,2,465000.0,2,2,3,Лояльные
211,24,1,336000.0,3,1,3,Новые
212,105,1,5500.0,2,1,1,Спящие
213,12,2,70000.0,3,2,2,Чемпионы
214,278,1,18000.0,1,1,1,Спящие
216,82,1,6000.0,2,1,1,Спящие
217,60,1,13200.0,3,1,1,Новые
218,313,1,52200.0,1,1,2,Спящие
219,84,2,342000.0,2,2,3,Лояльные
220,116,3,368100.0,2,3,3,Лояльные
221,200,2,22950.0,1,2,1,Под угрозой ухода
222,215,2,63000.0,1,2,2,Под угрозой ухода
224,72,2,204000.0,3,2,3,Чемпионы
225,136,2,34200.0,2,2,1,Лояльные
226,5,1,21600.0,3,1,1,Новые
227,134,1,24000.0,2,1,1,Спящие
228,140,2,513000.0,2,2,3,Лояльные
229,17,1,52000.0,3,1,2,Новые
230,89,2,23500.0,2,2,1,Лояльные
231,82,1,378000.0,2,1,3,Спящие
232,223,1,58000.0,1,1,2,Спящие
233,267,1,40500.0,1,1,1,Спящие
234,6,1,38400.0,3,1,1,Новые
235,113,1,52000.0,2,1,2,Спящие
236,95,1,378000.0,2,1,3,Спящие
237,208,3,124300.0,1,3,2,Под угрозой ухода
238,204,1,58000.0,1,1,2,Спящие
239,216,1,26100.0,1,1,1,Спящие
241,92,2,185500.0,2,2,3,Лояльные
242,220,1,29000.0,1,1,1,Спящие
243,262,1,72000.0,1,1,2,Спящие
244,115,1,27000.0,2,1,1,Спящие
245,109,1,52000.0,2,1,2,Спящие
246,333,1,52000.0,1,1,2,Спящие
247,9,5,1155000.0,3,3,3,Чемпионы
248,71,1,38000.0,3,1,1,Новые
249,48,1,29000.0,3,1,1,Новые
250,88,2,204000.0,2,2,3,Лояльные
251,63,1,102600.0,3,1,2,Новые
252,12,2,84800.0,3,2,2,Чемпионы
255,233,1,420000.0,1,1,3,Под угрозой ухода
256,257,2,15000.0,1,2,1,Под угрозой ухода
257,119,2,430000.0,2,2,3,Лояльные
259,323,1,102600.0,1,1,2,Спящие
261,260,1,114000.0,1,1,2,Спящие
263,158,2,429000.0,2,2,3,Лояльные
264,201,1,46800.0,1,1,2,Спящие
265,208,1,40500.0,1,1,1,Спящие
266,200,1,72000.0,1,1,2,Спящие
267,100,1,12000.0,2,1,1,Спящие
268,35,2,261000.0,3,2,3,Чемпионы
269,190,1,6000.0,2,1,1,Спящие
273,260,2,60300.0,1,2,2,Под угрозой ухода
274,205,2,66600.0,1,2,2,Под угрозой ухода
276,117,1,18000.0,2,1,1,Спящие
277,6,3,128000.0,3,3,2,Чемпионы
278,98,1,12000.0,2,1,1,Спящие
280,114,2,121000.0,2,2,2,Лояльные
281,297,1,18000.0,1,1,1,Спящие
282,97,1,180000.0,2,1,3,Спящие
283,87,1,16200.0,2,1,1,Спящие
284,89,2,207000.0,2,2,3,Лояльные
286,225,1,27000.0,1,1,1,Спящие
287,133,1,180000.0,2,1,3,Спящие
288,342,1,52000.0,1,1,2,Спящие
289,234,1,180000.0,1,1,3,Под угрозой ухода
290,349,1,9000.0,1,1,1,Спящие
291,209,4,128400.0,1,3,2,Под угрозой ухода
292,229,2,64100.0,1,2,2,Под угрозой ухода
294,9,2,168000.0,3,2,3,Чемпионы
295,83,1,34200.0,2,1,1,Спящие
296,59,1,52000.0,3,1,2,Новые
297,327,1,45000.0,1,1,2,Спящие
298,146,1,18000.0,2,1,1,Спящие
299,203,2,42000.0,1,2,2,Под угрозой ухода
300,154,2,100000.0,2,2,2,Лояльные
301,8,2,564000.0,3,2,3,Чемпионы
302,87,1,27000.0,2,1,1,Спящие
303,28,2,449000.0,3,2,3,Чемпионы
304,266,1,180000.0,1,1,3,Под угрозой ухода
305,169,1,420000.0,2,1,3,Спящие
306,338,1,38000.0,1,1,1,Спящие
308,26,1,135000.0,3,1,2,Новые
309,291,2,230400.0,1,2,3,Под угрозой ухода
310,186,2,449000.0,2,2,3,Лояльные
311,133,1,38000.0,2,1,1,Спящие
312,349,1,135000.0,1,1,2,Спящие
313,20,1,5500.0,3,1,1,Новые
314,225,1,5400.0,1,1,1,Спящие
315,26,1,24000.0,3,1,1,Новые
316,6,2,214200.0,3,2,3,Чемпионы
317,31,4,113500.0,3,3,2,Чемпионы
318,66,4,130850.0,3,3,2,Чемпионы
319,330,1,16500.0,1,1,1,Спящие
320,214,1,29000.0,1,1,1,Спящие
321,141,1,16500.0,2,1,1,Спящие
324,105,2,72200.0,2,2,2,Лояльные
325,138,2,110000.0,2,2,2,Лояльные
326,122,3,582000.0,2,3,3,Лояльные
327,273,1,38000.0,1,1,1,Спящие
328,162,1,29000.0,2,1,1,Спящие
330,111,4,89600.0,2,3,2,Лояльные
331,120,1,180000.0,2,1,3,Спящие
332,279,1,29000.0,1,1,1,Спящие
333,64,1,24000.0,3,1,1,Новые
334,7,1,46800.0,3,1,2,Новые
335,190,3,162000.0,2,3,3,Лояльные
336,302,1,102600.0,1,1,2,Спящие
337,68,1,180000.0,3,1,3,Новые
338,345,1,34200.0,1,1,1,Спящие
339,218,1,24000.0,1,1,1,Спящие
340,336,1,24000.0,1,1,1,Спящие
341,215,1,46800.0,1,1,2,Спящие
343,5,2,57500.0,3,2,2,Чемпионы
344,18,1,6000.0,3,1,1,Новые
345,276,2,232000.0,1,2,3,Под угрозой ухода
346,87,3,506000.0,2,3,3,Лояльные
347,109,3,534000.0,2,3,3,Лояльные
348,212,1,58000.0,1,1,2,Спящие
349,262,1,180000.0,1,1,3,Под угрозой ухода
350,175,1,162000.0,2,1,3,Спящие
351,241,2,173000.0,1,2,3,Под угрозой ухода
352,48,2,218000.0,3,2,3,Чемпионы
353,182,1,420000.0,2,1,3,Спящие
354,190,5,180400.0,2,3,3,Лояльные
355,13,1,23200.0,3,1,1,Новые
356,20,2,14400.0,3,2,1,Лояльные
357,356,1,18000.0,1,1,1,Спящие
358,172,1,24000.0,2,1,1,Спящие
359,57,1,21600.0,3,1,1,Новые
360,167,1,9000.0,2,1,1,Спящие
361,352,1,87000.0,1,1,2,Спящие
362,167,2,173000.0,2,2,3,Лояльные
363,326,2,56000.0,1,2,2,Под угрозой ухода
365,288,1,87000.0,1,1,2,Спящие
366,108,1,38000.0,2,1,1,Спящие
367,80,1,76000.0,2,1,2,Спящие
368,17,1,378000.0,3,1,3,Новые
369,87,1,38000.0,2,1,1,Спящие
370,283,1,102600.0,1,1,2,Спящие
371,16,3,496000.0,3,3,3,Чемпионы
372,217,1,52000.0,1,1,2,Спящие
373,130,1,9000.0,2,1,1,Спящие
374,56,2,249600.0,3,2,3,Чемпионы
375,85,1,29000.0,2,1,1,Спящие
376,191,3,190950.0,2,3,3,Лояльные
377,260,1,24000.0,1,1,1,Спящие
378,313,1,180000.0,1,1,3,Под угрозой ухода
379,57,1,52000.0,3,1,2,Новые
380,190,1,11000.0,2,1,1,Спящие
381,9,1,180000.0,3,1,3,Новые
382,72,1,420000.0,3,1,3,Новые
383,232,2,472000.0,1,2,3,Под угрозой ухода
384,59,1,5500.0,3,1,1,Новые
385,285,1,29000.0,1,1,1,Спящие
386,270,1,18000.0,1,1,1,Спящие
387,204,2,541500.0,1,2,3,Под угрозой ухода
389,230,1,45000.0,1,1,2,Спящие
390,15,3,489500.0,3,3,3,Чемпионы
391,126,2,232000.0,2,2,3,Лояльные
392,263,2,449000.0,1,2,3,Под угрозой ухода
393,23,2,168000.0,3,2,3,Чемпионы
394,25,1,5500.0,3,1,1,Новые
395,346,1,24000.0,1,1,1,Спящие
398,314,1,52000.0,1,1,2,Спящие
399,296,1,135000.0,1,1,2,Спящие
400,83,1,162000.0,2,1,3,Спящие
401,57,1,5400.0,3,1,1,Новые
402,12,2,15900.0,3,2,1,Лояльные
403,302,1,24000.0,1,1,1,Спящие
404,74,1,90000.0,3,1,2,Новые
405,103,2,423000.0,2,2,3,Лояльные
406,104,2,191000.0,2,2,3,Лояльные
407,159,2,66600.0,2,2,2,Лояльные
408,172,1,6000.0,2,1,1,Спящие
409,119,1,72000.0,2,1,2,Спящие
410,293,2,126600.0,1,2,2,Под угрозой ухода
412,43,4,76950.0,3,3,2,Чемпионы
413,13,1,180000.0,3,1,3,Новые
414,19,1,52000.0,3,1,2,Новые
415,69,2,171900.0,3,2,3,Чемпионы
416,21,2,134000.0,3,2,2,Чемпионы
417,286,1,9000.0,1,1,1,Спящие
418,309,1,26100.0,1,1,1,Спящие
419,300,1,29000.0,1,1,1,Спящие
420,34,5,931500.0,3,3,3,Чемпионы
421,39,1,52000.0,3,1,2,Новые
422,296,3,1020000.0,1,3,3,Под угрозой ухода
424,6,1,4800.0,3,1,1,Новые
425,122,2,232000.0,2,2,3,Лояльные
426,9,2,232000.0,3,2,3,Чемпионы
427,32,1,378000.0,3,1,3,Новые
428,84,1,135000.0,2,1,2,Спящие
429,64,2,159000.0,3,2,3,Чемпионы
430,196,1,162000.0,2,1,3,Спящие
431,252,3,133000.0,1,3,2,Под угрозой ухода
432,49,1,41600.0,3,1,2,Новые
433,131,1,72000.0,2,1,2,Спящие
435,101,1,18000.0,2,1,1,Спящие
436,195,2,465000.0,2,2,3,Лояльные
437,89,2,61500.0,2,2,2,Лояльные
438,163,1,38000.0,2,1,1,Спящие
439,257,1,5500.0,1,1,1,Спящие
440,126,4,228950.0,2,3,3,Лояльные
441,303,1,5500.0,1,1,1,Спящие
442,237,3,133000.0,1,3,2,Под угрозой ухода
443,238,1,9900.0,1,1,1,Спящие
444,9,4,124900.0,3,3,2,Чемпионы
445,341,1,29000.0,1,1,1,Спящие
446,271,2,57500.0,1,2,2,Под угрозой ухода
447,71,1,11000.0,3,1,1,Новые
448,112,2,32100.0,2,2,1,Лояльные
449,189,1,4950.0,2,1,1,Спящие
450,123,1,9000.0,2,1,1,Спящие
451,318,1,420000.0,1,1,3,Под угрозой ухода
452,142,1,18000.0,2,1,1,Спящие
454,166,2,67000.0,2,2,2,Лояльные
455,94,1,45000.0,2,1,2,Спящие
456,70,3,38000.0,3,3,1,Лояльные
457,26,2,54800.0,3,2,2,Чемпионы
458,207,3,407500.0,1,3,3,Под угрозой ухода
459,282,1,102600.0,1,1,2,Спящие
460,201,2,96000.0,1,2,2,Под угрозой ухода
461,121,1,180000.0,2,1,3,Спящие
462,132,1,6000.0,2,1,1,Спящие
463,34,1,52000.0,3,1,2,Новые
464,41,1,108000.0,3,1,2,Новые
465,124,1,24000.0,2,1,1,Спящие
466,222,1,72000.0,1,1,2,Спящие
467,326,1,11000.0,1,1,1,Спящие
468,200,4,1032000.0,1,3,3,Под угрозой ухода
469,25,1,87000.0,3,1,2,Новые
470,41,1,420000.0,3,1,3,Новые
471,62,1,11000.0,3,1,1,Новые
472,110,6,945000.0,2,3,3,Лояльные
473,31,1,4400.0,3,1,1,Новые
474,100,1,420000.0,2,1,3,Спящие
475,192,2,81500.0,2,2,2,Лояльные
476,242,3,192000.0,1,3,3,Под угрозой ухода
477,237,1,180000.0,1,1,3,Под угрозой ухода
478,94,1,58000.0,2,1,2,Спящие
480,188,1,90000.0,2,1,2,Спящие
481,40,1,12000.0,3,1,1,Новые
482,308,1,14850.0,1,1,1,Спящие
483,175,2,36000.0,2,2,1,Лояльные
484,47,1,38000.0,3,1,1,Новые
485,66,1,9900.0,3,1,1,Новые
486,204,1,5500.0,1,1,1,Спящие
487,157,1,18000.0,2,1,1,Спящие
488,316,1,45000.0,1,1,2,Спящие
489,189,1,180000.0,2,1,3,Спящие
491,19,1,46800.0,3,1,2,Новые
492,171,2,472000.0,2,2,3,Лояльные
493,191,1,378000.0,2,1,3,Спящие
494,170,4,204200.0,2,3,3,Лояльные
495,35,5,737500.0,3,3,3,Чемпионы
496,87,1,29000.0,2,1,1,Спящие
497,201,3,66100.0,1,3,2,Под угрозой ухода
498,13,1,378000.0,3,1,3,Новые
499,264,1,29000.0,1,1,1,Спящие
500,40,1,18000.0,3,1,1,Новые
501,140,1,5500.0,2,1,1,Спящие
502,193,2,315000.0,2,2,3,Лояльные
503,132,1,378000.0,2,1,3,Спящие
504,121,2,425500.0,2,2,3,Лояльные
505,16,1,87000.0,3,1,2,Новые
506,121,1,26100.0,2,1,1,Спящие
507,107,1,11000.0,2,1,1,Спящие
508,227,1,52000.0,1,1,2,Спящие
509,234,1,52000.0,1,1,2,Спящие
510,172,1,90000.0,2,1,2,Спящие
512,281,1,46800.0,1,1,2,Спящие
513,281,1,29000.0,1,1,1,Спящие
514,226,2,600000.0,1,2,3,Под угрозой ухода
515,345,1,45000.0,1,1,2,Спящие
516,39,4,616200.0,3,3,3,Чемпионы
517,99,4,323300.0,2,3,3,Лояльные
518,314,1,180000.0,1,1,3,Под угрозой ухода
519,289,1,29000.0,1,1,1,Спящие
520,118,1,76000.0,2,1,2,Спящие
522,292,2,61000.0,1,2,2,Под угрозой ухода
523,277,2,225000.0,1,2,3,Под угрозой ухода
524,93,1,420000.0,2,1,3,Спящие
525,152,4,594000.0,2,3,3,Лояльные
527,281,2,104000.0,1,2,2,Под угрозой ухода
528,52,1,18000.0,3,1,1,Новые
529,66,1,52000.0,3,1,2,Новые
530,11,4,134800.0,3,3,2,Чемпионы
531,70,1,16500.0,3,1,1,Новые
532,313,1,72000.0,1,1,2,Спящие
533,75,2,17000.0,3,2,1,Лояльные
534,100,1,5500.0,2,1,1,Спящие
535,125,1,18000.0,2,1,1,Спящие
536,174,1,58000.0,2,1,2,Спящие
538,32,2,34500.0,3,2,1,Лояльные
539,195,1,52000.0,2,1,2,Спящие
540,77,4,780000.0,3,3,3,Чемпионы
541,10,1,90000.0,3,1,2,Новые
542,38,1,24000.0,3,1,1,Новые
543,108,2,150500.0,2,2,3,Лояльные
544,253,1,420000.0,1,1,3,Под угрозой ухода
545,97,3,166600.0,2,3,3,Лояльные
546,83,1,52000.0,2,1,2,Спящие
547,31,1,46800.0,3,1,2,Новые
549,205,2,47000.0,1,2,2,Под угрозой ухода
550,160,1,58000.0,2,1,2,Спящие
551,90,2,429000.0,2,2,3,Лояльные
552,5,1,24000.0,3,1,1,Новые
553,50,2,472000.0,3,2,3,Чемпионы
554,141,1,46800.0,2,1,2,Спящие
555,240,1,29000.0,1,1,1,Спящие
556,318,1,21600.0,1,1,1,Спящие
557,137,1,4950.0,2,1,1,Спящие
558,3,1,9000.0,3,1,1,Новые
560,5,2,41200.0,3,2,2,Чемпионы
561,298,2,59600.0,1,2,2,Под угрозой ухода
562,94,1,52000.0,2,1,2,Спящие
563,340,1,9000.0,1,1,1,Спящие
564,123,3,155800.0,2,3,3,Лояльные
565,34,1,378000.0,3,1,3,Новые
566,66,1,378000.0,3,1,3,Новые
567,125,1,52000.0,2,1,2,Спящие
568,308,1,52000.0,1,1,2,Спящие
569,154,1,45000.0,2,1,2,Спящие
570,297,1,87000.0,1,1,2,Спящие
571,92,1,52000.0,2,1,2,Спящие
572,230,1,6000.0,1,1,1,Спящие
573,217,2,238000.0,1,2,3,Под угрозой ухода
574,80,3,193950.0,2,3,3,Лояльные
575,325,1,9000.0,1,1,1,Спящие
577,163,2,78500.0,2,2,2,Лояльные
578,74,1,78300.0,3,1,2,Новые
579,260,2,144000.0,1,2,3,Под угрозой ухода
580,38,1,8100.0,3,1,1,Новые
581,244,1,12000.0,1,1,1,Спящие
582,290,1,34200.0,1,1,1,Спящие
583,175,1,29000.0,2,1,1,Спящие
584,67,2,180000.0,3,2,3,Чемпионы
585,305,2,173000.0,1,2,3,Под угрозой ухода
587,64,1,420000.0,3,1,3,Новые
588,27,1,7200.0,3,1,1,Новые
589,37,3,278800.0,3,3,3,Чемпионы
590,81,1,38000.0,2,1,1,Спящие
591,226,2,45500.0,1,2,2,Под угрозой ухода
592,299,1,27000.0,1,1,1,Спящие
593,191,2,39600.0,2,2,1,Лояльные
595,96,1,27000.0,2,1,1,Спящие
596,157,4,158000.0,2,3,3,Лояльные
597,156,3,106400.0,2,3,2,Лояльные
599,56,1,6000.0,3,1,1,Новые
601,192,1,72000.0,2,1,2,Спящие
602,348,1,9000.0,1,1,1,Спящие
603,65,2,58000.0,3,2,2,Чемпионы
604,67,1,40500.0,3,1,1,Новые
605,111,1,52000.0,2,1,2,Спящие
607,12,1,180000.0,3,1,3,Новые
608,7,1,38000.0,3,1,1,Новые
610,248,2,209000.0,1,2,3,Под угрозой ухода
612,175,1,420000.0,2,1,3,Спящие
613,197,2,96000.0,2,2,2,Лояльные
614,3,5,178600.0,3,3,3,Чемпионы
615,165,1,72000.0,2,1,2,Спящие
616,240,2,69300.0,1,2,2,Под угрозой ухода
617,55,4,170000.0,3,3,3,Чемпионы
618,47,3,102500.0,3,3,2,Чемпионы
619,66,3,161300.0,3,3,3,Чемпионы
621,33,3,167400.0,3,3,3,Чемпионы
622,107,1,52200.0,2,1,2,Спящие
623,17,1,76000.0,3,1,2,Новые
624,238,3,83000.0,1,3,2,Под угрозой ухода
626,153,1,114000.0,2,1,2,Спящие
627,153,2,449000.0,2,2,3,Лояльные
628,102,1,72000.0,2,1,2,Спящие
629,25,2,42000.0,3,2,2,Чемпионы
630,306,1,9000.0,1,1,1,Спящие
632,274,2,472000.0,1,2,3,Под угрозой ухода
635,283,1,29000.0,1,1,1,Спящие
636,85,4,473100.0,2,3,3,Лояльные
637,146,2,209000.0,2,2,3,Лояльные
638,212,1,48000.0,1,1,2,Спящие
639,105,1,180000.0,2,1,3,Спящие
641,118,3,204000.0,2,3,3,Лояльные
642,63,1,78300.0,3,1,2,Новые
643,3,1,4800.0,3,1,1,Новые
644,221,2,465000.0,1,2,3,Под угрозой ухода
645,61,1,378000.0,3,1,3,Новые
646,52,2,383400.0,3,2,3,Чемпионы
648,6,2,165400.0,3,2,3,Чемпионы
650,196,1,58000.0,2,1,2,Спящие
651,255,1,180000.0,1,1,3,Под угрозой ухода
652,117,1,180000.0,2,1,3,Спящие
653,324,1,45000.0,1,1,2,Спящие
654,23,3,61600.0,3,3,2,Чемпионы
655,33,1,420000.0,3,1,3,Новые
656,37,3,336600.0,3,3,3,Чемпионы
657,176,1,24000.0,2,1,1,Спящие
658,9,1,69600.0,3,1,2,Новые
659,14,2,460500.0,3,2,3,Чемпионы
660,198,2,159500.0,2,2,3,Лояльные
661,207,1,52000.0,1,1,2,Спящие
662,10,1,180000.0,3,1,3,Новые
663,187,1,9000.0,2,1,1,Спящие
664,215,1,9000.0,1,1,1,Спящие
665,85,1,48000.0,2,1,2,Спящие
666,184,1,4950.0,2,1,1,Спящие
667,209,1,46800.0,1,1,2,Спящие
668,320,1,9000.0,1,1,1,Спящие
670,88,1,8100.0,2,1,1,Спящие
671,108,3,501000.0,2,3,3,Лояльные
672,54,2,142000.0,3,2,3,Чемпионы
673,94,1,135000.0,2,1,2,Спящие
674,314,1,420000.0,1,1,3,Под угрозой ухода
675,307,2,80100.0,1,2,2,Под угрозой ухода
676,78,1,16500.0,3,1,1,Новые
677,21,1,45000.0,3,1,2,Новые
678,121,1,6000.0,2,1,1,Спящие
679,213,1,378000.0,1,1,3,Под угрозой ухода
